E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
2.73091,2.26109,2.02132,0.485615,-0.236249,1.94785,1.17804,-0.435826,0.367953,0.426723
2.10519,2.06355,1.5963,-0.718848,0.517069,1.32818,1.40553,0.642277,-0.506617,0.652664
5.0909,3.99244,3.31764,0.0811385,-1.00734,3.15997,1.61308,-0.382854,0.902164,0.872461
2.74849,1.77821,1.64334,-0.332934,0.323007,1.57651,1.07314,-0.0423111,-0.206527,0.476266
1.4409,1.39873,1.34593,-0.277703,-0.353265,1.2687,0.991076,0.100224,0.267303,0.14276
1.33975,1.29679,1.15624,0.353588,-0.188099,1.08466,1.07882,-0.378877,0.335827,0.164835
1.40228,1.35955,1.23932,-0.5056,0.250706,1.10338,1.0585,0.28982,-0.247899,0.307584
2.47531,2.22702,1.78692,-0.38426,0.28392,1.72187,1.37837,0.625521,-0.164238,0.775439
1.25658,1.21486,1.14271,-0.189865,0.288078,1.08938,1.01043,0.242757,-0.20425,0.19989
1.93769,1.89522,1.71767,-0.488978,-0.0552577,1.64567,1.11583,0.480947,0.2108,0.298271
2.30394,1.58052,1.51671,0.403065,-0.247254,1.44111,1.00208,-0.182994,-0.300489,-0.00524012
2.24074,2.03922,1.77867,0.484545,0.120879,1.70713,1.19882,-0.512314,-0.0307353,0.541659
1.63905,1.42013,1.34918,0.154906,0.551091,1.22172,1.00922,0.360045,0.00146658,0.0923429
1.34926,1.30625,1.19433,-0.147854,0.27976,1.15165,1.05019,0.106682,-0.290839,0.355772
3.9479,3.61069,2.82605,0.753098,-0.0869708,2.72247,1.72292,-1.01277,0.179017,1.01505
1.5183,1.47732,1.41776,0.0571037,0.379139,1.36493,0.997829,-0.0331931,-0.316845,0.117542
1.45443,1.41179,1.29315,0.292726,0.250383,1.23444,1.05691,-0.419689,-0.203015,0.139128
3.16453,3.12355,2.16516,-0.968291,0.456116,1.88209,1.89667,0.97061,-0.447653,1.2548
1.8131,1.7708,1.60532,-0.296953,-0.3085,1.54715,1.10376,0.342814,0.271413,0.383076
2.90663,2.86388,2.41118,0.179153,-0.703348,2.29935,1.39097,-0.086549,0.844682,0.577467
6.80874,4.15069,3.65832,1.15449,-0.0929338,3.47013,1.43064,-0.477539,0.362067,0.898467
2.37973,2.25586,2.19837,-0.48207,0.305224,2.12303,0.995767,0.281703,-0.141353,0.108906
3.043,2.29363,2.22256,0.49143,-0.322145,2.14348,1.00934,-0.0816655,0.351615,0.0900218
1.32909,1.28725,1.20645,0.277779,0.242403,1.14874,1.01907,-0.339091,-0.146798,0.147015
3.06928,1.47558,1.15119,0.56471,0.165136,0.989475,1.26266,-0.310765,0.41269,0.668635
1.37485,1.33357,1.1847,0.458977,-0.219675,1.06986,1.08714,-0.405919,0.269717,0.252978
3.31245,2.83647,2.55781,-0.188643,-0.66422,2.46285,1.21693,-0.215057,0.430326,0.60756
1.52527,1.43576,1.37228,0.518254,0.186429,1.2569,1.00176,-0.0761886,-0.292065,0.179048
1.45342,1.4113,1.3173,0.350995,0.333899,1.22498,1.03228,-0.272082,-0.325079,0.0744188
2.69256,2.65068,2.29719,-0.702323,-0.0491051,2.18665,1.29176,0.765203,-0.0420952,0.448303
1.3853,1.30004,1.24523,0.36578,-0.165267,1.17877,0.993078,-0.315158,-0.0494587,0.0638598
2.55266,2.51074,2.33607,0.57688,-0.360529,2.23482,1.11294,-0.440985,0.347842,0.20694
1.87177,1.82923,1.77037,-0.338064,-0.349281,1.70233,0.997136,0.237132,0.154266,0.184109
1.80107,1.75992,1.6762,-0.419509,-0.192502,1.6114,1.02199,0.358072,0.115447,0.150222
2.39024,1.25579,1.15766,0.0598438,-0.598267,0.989279,1.0364,0.254684,0.126908,-0.335849
2.00901,1.75232,1.62591,-0.424514,0.00659916,1.5695,1.06468,0.422278,-0.0916334,-0.257825
2.43318,2.34802,2.24506,-0.256586,0.648547,2.13397,1.04123,0.0826065,-0.439907,0.0588864
2.30155,2.01138,1.26875,-0.18514,-0.29903,1.21902,1.68091,0.168126,0.502303,1.29016
2.5583,1.53232,1.36224,0.19926,0.34808,1.30186,1.10835,-0.0248657,-0.176301,0.562483
1.57013,1.52897,1.42617,-0.269677,-0.375522,1.34915,1.04107,0.195762,0.365662,0.177309
1.67886,1.63698,1.54027,0.0419626,0.455988,1.47063,1.03499,0.0734717,-0.369007,0.221992
1.63062,1.5454,1.49042,0.312637,0.245798,1.43638,0.993254,-0.321959,-0.0173428,0.047346
2.60599,2.56226,2.36133,-0.219804,0.603444,2.27231,1.1392,0.256007,-0.392382,0.44489
1.97944,1.93832,1.75575,-0.10548,0.517307,1.67449,1.12084,0.0887931,-0.507364,0.332614
1.36355,1.24598,1.15742,0.124207,0.60561,0.978488,1.02683,-0.119739,-0.257935,0.305204
2.91887,1.68836,1.63765,0.107616,-0.543528,1.54107,0.988991,0.150416,-0.215572,0.169268
3.51823,2.85241,2.51292,-0.553926,-0.393486,2.41932,1.27777,0.517097,0.371836,0.588799
1.60714,1.56535,1.51607,-0.438269,0.0568576,1.45023,0.987544,0.304506,-0.0305197,0.0351064
2.03484,1.93614,1.86977,0.485142,0.126011,1.80133,1.00464,-0.319523,0.162375,-0.0221875
2.51967,2.47701,2.34365,-0.515727,0.371413,2.25583,1.07163,0.451079,-0.227975,0.11225
4.67698,1.36193,1.31144,0.903387,0.31076,0.898436,0.988766,0.176453,-0.132509,0.220476
1.35035,1.30743,1.19549,-0.172067,0.288932,1.14722,1.05021,0.0689879,-0.415608,0.212365
1.80939,1.7672,1.54138,-0.0108878,0.466593,1.46903,1.16409,-0.0243274,-0.541065,0.425926
1.83402,1.79269,1.41834,-0.139671,0.692451,1.22992,1.31262,0.0656311,-0.714023,0.573129
2.0576,1.89514,1.72006,-0.164044,-0.441315,1.65437,1.11335,0.060159,-0.420929,0.422354
1.56702,1.52331,1.4024,0.0956987,0.472417,1.31696,1.05918,-0.220615,-0.29294,0.327135
